FID,NO,ID_1,ID_2,ID3,DATE_BEGIN,DATA_EXPIR,NAME,ADDRESS,STATE,ZIP,LAT,LONG,CAFO_TYPE,CAFO_SUBTY,SIS_CODE,ANIMAL_CNT,E_ANIMAL_C,AU,E_AU,MANURE_AMT,E_MANURE_A,T_MANURE_A,NOTE,x,y
95,188,TXG920613,CN600791644,RN101515526,4/28/2005, ,GUY GOEN & SONS INC,"Unnamed Road, Seminole, TX 79360, USA",TX,79360,32.541666,-102.90833,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,12994, ,12994, ,-11455704,3834625
96,189,TXG920616,CN600272256,RN102094398,4/29/2005, ,TEXAS TECH UNIVERSITY,12820 N COUNTY ROAD 3000 IDALOU,TX,79350,33.729722,-101.73277,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3297, ,3297, ,-11324841,3992569
97,190,TXG920618,CN602834640,RN104608641,12/16/2005, ,HEARTLAND LIVESTOCK COMPANY INC,"TX-86, Dimmitt, TX 79027, USA",TX,79027,34.533888,-102.38527,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,13140, ,13140, ,-11397477,4100718
98,192,TXG920627,CN602982225,RN101518876,5/12/2005, ,RANCHITO SAN MIGUEL LLC,"Sagunada Dr, Rio Grande City, TX 78582, USA",TX,78582,26.511406,-98.748199,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,15193, ,15193, ,-10992600,3062560
99,197,TXG920638,CN602883654,RN101613727,6/22/2005, ,CLAYTON WILLIAMS FEEDYARD INC,888 WILLIAMS RD FORT STOCKTON,TX,79735,30.845555,-103.05638,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,9137, ,9137, ,-11472185,3612708
100,199,TXG920645,CN602879561,RN102287554,6/30/2005, ,OPPLIGER FEEDYARD INC,2875 US HIGHWAY 385 DIMMITT,TX,79027,34.339166,-102.30416,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,41868, ,41868, ,-11388448,4074436
101,202,TXG920702,CN602979577,RN104876693,8/22/2006, ,"IRLBECK, JAMES ALFRED JR","Comanche Trail, Amarillo, TX 79119, USA",TX,79015,35.07,-101.98,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,5582, ,5582, ,-11352363,4173399
102,204,TXG920732,CN603038746,RN101056471,4/3/2006, ,DEERFIELD FEEDERS INC,851 N STATE ROAD 168 SMYER,TX,79367,33.602222,-102.18527,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,44676, ,44676, ,-11375213,3975515
103,210,TXG920810,CN603067240,RN102095353,7/16/2006, ,DAVIS MYERS & BLACK INC,5642 US HIGHWAY 385 VEGA,TX,79092,35.108055,-102.39416,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,19447, ,19447, ,-11398467,4178576
104,211,TXG920811,CN603537382,RN102344686,7/16/2006, ,R & P FEEDYARD INC,400 FM 1055 HEREFORD,TX,79045,32.712222,-102.41,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,7900, ,7900, ,-11400230,3857169
105,214,TXG920823,CN603075789,RN105015044,3/20/2007, ,WOODROW NELSON & SON INC,"TX-194, Dimmitt, TX 79027, USA",TX,79027,34.510555,-102.27277,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,7443, ,7443, ,-11384954,4097566
106,220,TXG920841,CN603580093,RN105092613,9/23/2006, ,"REID, CLAY","FM281, Morse, TX 79062, USA",TX,79062,36.022222,-101.51222,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,9928, ,9928, ,-11300290,4303680
107,221,TXG920844,CN600797492,RN105092621,9/30/2006, ,CHAMPION FEEDERS LLC,"W County Rd 34, Amarillo, TX 79119, USA",TX,79012,35.176666,-102.09972,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,31025, ,31025, ,-11365690,4187916
108,223,TXG920851,CN603117557,RN102052925,10/18/2006, ,C S INVESTMENTS,14899 BRYANT RD DALHART,TX,79022,36.466111,-102.81222,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,66515, ,66515, ,-11445005,4364949
109,227,TXG920874,CN603038746,RN103219168,12/21/2006, ,DEERFIELD FEEDERS INC,"Unnamed Road, Seminole, TX 79360, USA",TX,79360,32.750833,-103.00833,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,51100, ,51100, ,-11466836,3862278
110,235,TXG920917,CN603160201,RN101620011,3/1/2007, ,STEVE EDWARDS FARMS INC,"US-70, Earth, TX 79031, USA",TX,0,34.234444,-102.498888,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,17520, ,17520, ,-11410125,4060327
111,242,TXG920957,CN603195462,RN105233381,1/16/2008, ,SUNRISE FARMS,2648 COUNTY ROAD 614 NAZARETH,TX,79063,34.551666,-102.07833,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,9744, ,9744, ,-11363309,4103121
112,243,TXG920959,CN603173030,RN105233373,11/12/2007, ,"HEFNER, TOMMY","Friona, TX 79035, USA",TX,79009,34.646111,-102.87222,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,10056, ,10056, ,-11451684,4115893
113,244,TXG920961,CN603128786,RN105121156,12/19/2007, ,"ALLCORN, TROY DON",2131 US HIGHWAY 70 EARTH,TX,79031,34.203611,-102.26027,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,5028, ,5028, ,-11383562,4056176
114,248,TXG921002,CN603271644,RN102380367,12/6/2007, ,PLAINVIEW FEEDERS II INC,1581 FM 788 KRESS,TX,79052,34.271388,-101.81972,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,33507, ,33507, ,-11334520,4065302
115,255,TXG921045,CN601264948,RN105310551,3/16/2009, ,"BRISENO, ARTURO LOMELI","7685 Co Rd 403, Stephenville, TX 76401, USA",TX,76401,32.31795,-98.391178,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,1022, ,1022, ,-10952857,3805120
116,261,TXG921063,CN603347055,RN102093317,5/31/2008, ,"WILHITE, ROBERT",4147 US HIGHWAY 60 HEREFORD,TX,79045,34.849444,-102.329166,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,6482, ,6482, ,-11391232,4143441
117,262,TXG921071,CN600457972,RN105502397,2/19/2009, ,BELTEX CORPORATION,2180 COUNTY ROAD 120 MORTON,TX,79346,33,-102,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,5457, ,5457, ,-11354589,3895305
118,263,TXG921074,CN603396144,RN102336773,8/7/2008, ,F TROOP FEEDERS INC,20 BARTLETT II RD HEREFORD,TX,79045,35.053333,-102.316666,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,65700, ,65700, ,-11389840,4171132
119,266,TXG921083,CN600802631,RN102093341,8/29/2008, ,"BRAND, ELTJE FRANS",2325 CLUCK RD HART,TX,79043,34.416388,-102.244444,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,55845, ,55845, ,-11381800,4084852
120,267,TXG921083,CN603554668,RN102093341,8/29/2008, ,"BRAND, JONIE ANN",2325 CLUCK RD HART,TX,79043,34.416388,-102.244444,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,55845, ,55845, ,-11381800,4084852
121,268,TXG921092,CN603413972,RN101701423,10/9/2008, ,DEAN CLUCK FEEDYARD INC,105 DEAN CLUCK AVE GRUVER,TX,79040,36.177777,-101.680833,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,81030, ,81030, ,-11319060,4325112
122,270,TXG921096,CN603420977,RN101527646,10/29/2008, ,AMIGOS BEEF CATTLE COMPANY LLC,18039 COUNTY ROAD 1634 EDROY,TX,78352,27.966666,-97.668333,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,21927, ,21927, ,-10872390,3244772
123,273,TXG921109,CN603439175,RN102887080,1/14/2009, ,LONE OAK FEEDERS INC,2580 FM 847 STEPHENVILLE,TX,76401,32.171666,-98.220555,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,2758, ,2758, ,-10933863,3785866
124,275,TXG921116,CN603448564,RN104574835,2/8/2009, ,TRIANGLE CATTLE COMPANY,"FM928, Tulia, TX 79088, USA",TX,79063,34.450555,-102.060833,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,10176, ,10176, ,-11361361,4089463
125,276,TXG921118,CN603450370,RN101511855,2/13/2009, ,BRUINS DAIRY CATTLE LLC,10400 E FM 1912 AMARILLO,TX,79108,35.258333,-101.715833,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,4088, ,4088, ,-11322956,4199044
126,277,TXG921129,CN601064280,RN100550391,5/14/2009, ,BEJS FEEDERS INC,"3751 FM2943, Hereford, TX 79045, USA",TX,79045,34.82485,-102.35525,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,24820, ,24820, ,-11394135,4140105
127,285,TXG921147,CN603582032,RN102287398,11/2/2009, ,WHEELER LAND & LIVESTOCK LLC,15495 HIGHWAY 152 WHEELER,TX,79096,35.4609,-100.3273,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,76650, ,76650, ,-11168385,4226694
128,287,TXG921150,CN603592999,RN102342607,11/25/2009, ,LS QUIEN SABE LLC,44841 IH 27 HAPPY,TX,79042,34.7625,-101.83333,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,145854, ,145854, ,-11336035,4131653
129,290,TXG921157,CN603640921,RN105835854,7/9/2010, ,"JORDAN, KYNDA",1310 W US HIGHWAY 190 SAN SABA,TX,76877,31.205625,-98.77765,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,6033, ,6033, ,-10995879,3659483
130,291,TXG921157,CN603640939,RN105835854,7/9/2010, ,"JORDAN, KENNETH",1310 W US HIGHWAY 190 SAN SABA,TX,76877,31.205625,-98.77765,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,6033, ,6033, ,-10995879,3659483
131,292,TXG921159,CN603658535,RN102334364,4/6/2010, ,SENDERO FEEDYARD LLC,975 COUNTY ROAD 606 HEREFORD,TX,79045,34.6792,-102.3658,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,81030, ,81030, ,-11395310,4120372
132,293,TXG921159,CN603658543,RN102334364,4/6/2010, ,OT FEEDYARD & RESEARCH CENTER LLC,975 COUNTY ROAD 606 HEREFORD,TX,79045,34.6792,-102.3658,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,81030, ,81030, ,-11395310,4120372
133,301,TXG921168,CN603693540,RN101718070,7/6/2010, ,DOUBLE D FEEDYARD LLC,660 COUNTY ROAD 620 DIMMITT,TX,79027,34.46333,-102.42388,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,48618, ,48618, ,-11401775,4091188
134,305,TXG921170,CN602984619,RN105965164,12/3/2010, ,"MCLAIN, LESLIE MICHAEL","FM760, Spearman, TX 79081, USA",TX,79040,36.24733,-101.19827,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3519.51, ,3519.51, ,-11265341,4334708
135,306,TXG921170,CN602984726,RN105965164,12/3/2010, ,"MCLAIN, DIANE","FM760, Spearman, TX 79081, USA",TX,79040,36.24733,-101.19827,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3519.51, ,3519.51, ,-11265341,4334708
136,307,TXG921170,CN603705864,RN105965164,12/3/2010, ,MC CATTLE COMPANY,"FM760, Spearman, TX 79081, USA",TX,79040,36.24733,-101.19827,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3519.51, ,3519.51, ,-11265341,4334708
137,308,TXG921170,CN603710351,RN105965164,12/3/2010, ,"MCLAIN, HOLLY","FM760, Spearman, TX 79081, USA",TX,79040,36.24733,-101.19827,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3519.51, ,3519.51, ,-11265341,4334708
138,309,TXG921170,CN603710369,RN105965164,12/3/2010, ,"MCCLOY, MOLLY","FM760, Spearman, TX 79081, USA",TX,79040,36.24733,-101.19827,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3519.51, ,3519.51, ,-11265341,4334708
139,310,TXG921170,CN603710377,RN105965164,12/3/2010, ,"MCLAIN, BUSTER","FM760, Spearman, TX 79081, USA",TX,79040,36.24733,-101.19827,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3519.51, ,3519.51, ,-11265341,4334708
140,311,TXG921170,CN603710385,RN105965164,12/3/2010, ,"MCCLOY, MARTY","FM760, Spearman, TX 79081, USA",TX,79040,36.24733,-101.19827,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3519.51, ,3519.51, ,-11265341,4334708
141,314,TXG921182,CN603413972,RN102599768,12/8/2010, ,DEAN CLUCK FEEDYARD INC,1575 FM 1055 DIMMITT,TX,79027,34.534444,-102.40555,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,113880, ,113880, ,-11399735,4100793
142,315,TXG921187,CN603797374,RN102816832,1/7/2011, ,R&M CATTLE,1270 CR 1068 MULESHOE,TX,79347,34.207777,-102.81852,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,21900, ,21900, ,-11445706,4056736
143,316,TXG921187,CN603797416,RN102816832,1/7/2011, ,"WILLIAMS, MARK",1270 CR 1068 MULESHOE,TX,79347,34.207777,-102.81852,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,21900, ,21900, ,-11445706,4056736
144,317,TXG921187,CN603797424,RN102816832,1/7/2011, ,"WILLIAMS, RYAN",1270 CR 1068 MULESHOE,TX,79347,34.207777,-102.81852,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,21900, ,21900, ,-11445706,4056736
145,319,TXG921190,CN603546425,RN105818611,9/14/2011, ,2-W INC,1360 COUNTY ROAD 272 LITTLEFIELD,TX,79339,33.956388,-102.3825,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,6033, ,6033, ,-11397169,4022948
146,320,TXG921190,CN603732546,RN105818611,9/14/2011, ,"WALDEN, BRADLEY FRED",1360 COUNTY ROAD 272 LITTLEFIELD,TX,79339,33.956388,-102.3825,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,6033, ,6033, ,-11397169,4022948
147,327,TXG921197,CN600798045,RN101852465,2/2/2011, ,CATTLE TOWN FEEDERS LTD,10625 COUNTY RD W # F SPEARMAN,TX,79081,36.246033,-101.1778,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,141620, ,141620, ,-11263062,4334529
148,328,TXG921202,CN603814864,RN101701571,2/24/2011, ,WINTER GRAZING CORP,630 COUNTY ROAD 113 MULESHOE,TX,79347,34.708333,-102.425,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,14585, ,14585, ,-11401900,4124316
149,331,TXG921209,CN603846999,RN102844388,5/7/2011, ,HEIFER HILL FARMS INC,"576 Co Rd 24, Muleshoe, TX 79347, USA",TX,79053,34.381388,-102.63111,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,8760, ,8760, ,-11424844,4080130
150,332,TXG921216,CN603862293,RN101518637,6/6/2011, ,RANCHO LA PRESA NUEVA LLC,2141 FM 3176 DEVINE,TX,78016,29.078611,-98.922777,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,8357, ,8357, ,-11012034,3385656
151,333,TXG921216,CN603862293,RN101518637,6/6/2011, ,RANCHO LA PRESA NUEVA LLC,2141 FM 3176 DEVINE,TX,78016,29.078611,-98.922777,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,8357, ,8357, ,-11012034,3385656
152,339,TXG921232,CN602984262,RN102334802,10/23/2011, ,"SCIVALLY, KENNETH EUGENE",4592 COUNTY ROAD 8 HEREFORD,TX,79045,34.817777,-102.23166,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,20166, ,20166, ,-11380377,4139146
153,340,TXG921232,CN603983917,RN102334802,10/23/2011, ,"MUSICK, STACY",4592 COUNTY ROAD 8 HEREFORD,TX,79045,34.817777,-102.23166,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,20166, ,20166, ,-11380377,4139146
154,342,TXG921248,CN604028308,RN102336286,1/20/2012, ,CHAMBLISS LAND LLC,5376 FM 545 MELISSA,TX,75454,33.296111,-96.51,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,19491, ,19491, ,-10743445,3934675
155,343,TXG921248,CN604028332,RN102336286,1/20/2012, ,MELISSA FEEDERS LLC,5376 FM 545 MELISSA,TX,75454,33.296111,-96.51,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,19491, ,19491, ,-10743445,3934675
156,348,TXG921257,CN604052118,RN101522878,3/7/2012, ,"CRAFT, JOYCE","Co Rd DD, Canadian, TX 79014, USA",TX,79014,36.086333,-100.3623,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,9634, ,9634, ,-11172281,4312508
157,349,TXG921257,CN604052142,RN101522878,3/7/2012, ,SAND HILL LIVESTOCK LLC,"Co Rd DD, Canadian, TX 79014, USA",TX,79014,36.086333,-100.3623,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,9634, ,9634, ,-11172281,4312508
158,352,TXG921265,CN603832098,RN105889760,4/22/2012, ,MCCLAIN FEED YARD INC,"4010 FM1057, Hereford, TX 79045, USA",TX,79045,34.86879,-102.50972,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3017, ,3017, ,-11411331,4146065
159,357,TXG921275,CN604100917,RN101512671,6/20/2012, ,GUESS DAIRY LLC,280 HIGHWAY 86 HEREFORD,TX,79045,34.526944,-102.49666,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,12410, ,12410, ,-11409877,4099780
160,359,TXG921277,CN604118695,RN106480429,2/28/2013, ,PEGGY L DUKE CONTRIBUTION TRUST,13924 FM 377 BOOKER,TX,79005,36.3915,-100.5867,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,5027.88, ,5027.88, ,-11197261,4354627
161,360,TXG921277,CN604122655,RN106480429,2/28/2013, ,"DUKE, JOHN",13924 FM 377 BOOKER,TX,79005,36.3915,-100.5867,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,5027.88, ,5027.88, ,-11197261,4354627
162,361,TXG921277,CN604122671,RN106480429,2/28/2013, ,"DUKE, PEGGY LEORA",13924 FM 377 BOOKER,TX,79005,36.3915,-100.5867,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,5027.88, ,5027.88, ,-11197261,4354627
163,368,TXG921283,CN603605130,RN106514300,11/18/2013, ,INGURAN LLC,22575 STATE HIGHWAY 6 S NAVASOTA,TX,77868,30.480776,-96.178048,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,16060, ,16060, ,-10706492,3565501
164,369,TXG921283,CN604142265,RN106514300,11/18/2013, ,APISPEDIGREE LP,22575 STATE HIGHWAY 6 S NAVASOTA,TX,77868,30.480776,-96.178048,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,16060, ,16060, ,-10706492,3565501
165,371,TXG921288,CN604176461,RN101513364,12/5/2012, ,HUDSON ROCKY CREEK RANCH LP,12818 N US HIGHWAY 67 MILES,TX,76861,31.3456,-100.1321,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,41325, ,41325, ,-11146655,3677714
166,374,TXG921293,CN604253856,RN106582281,10/7/2013, ,"ALLEN, WILLIAM ROY","Conlen Ln, Dalhart, TX 79022, USA",TX,79022,36.2244,-102.2261,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,60225, ,60225, ,-11379758,4331543
167,375,TXG921296,CN604262816,RN105377618,1/31/2013, ,K & C LAND COMPANY LLC,3799 COUNTY ROAD 22 HEREFORD,TX,79045,35.078055,-102.372222,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3256, ,3256, ,-11396025,4174494
168,376,TXG921296,CN604262824,RN105377618,1/31/2013, ,ROADRUNNER CATTLE CO,3799 COUNTY ROAD 22 HEREFORD,TX,79045,35.078055,-102.372222,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3256, ,3256, ,-11396025,4174494
169,379,TXG921302,CN604327700,RN103013108,5/22/2013, ,SOUTH PLAINS AG ENTERPRISES LLC,562 COUNTY ROAD 22 MULESHOE,TX,79347,34.378611,-102.65888,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3077, ,3077, ,-11427935,4079755
170,380,TXG921302,CN604328070,RN103013108,5/22/2013, ,SOUTH PLAINS CATTLE CO LLC,562 COUNTY ROAD 22 MULESHOE,TX,79347,34.378611,-102.65888,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3077, ,3077, ,-11427935,4079755
171,381,TXG921303,CN604329136,RN102180957,5/22/2013, ,SPECK RANCHES LP,1900 FM 2126 EARLY,TX,76802,31.702778,-98.925556,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,5030, ,5030, ,-11012343,3724359
172,382,TXG921303,CN604329151,RN102180957,5/22/2013, ,SPECK CATTLE LLC,1900 FM 2126 EARLY,TX,76802,31.702778,-98.925556,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,5030, ,5030, ,-11012343,3724359
173,401,TXG921327,CN600493795,RN107021040,6/4/2014, ,BAEZA CATTLE COMPANY INC,1100 CATTLE DR PRESIDIO,TX,79845,29.559858,-104.343639,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,1734, ,1734, ,-11615482,3447099
174,402,TXG921327,CN604552703,RN107021040,6/4/2014, ,"BAEZA, SALVADOR",1100 CATTLE DR PRESIDIO,TX,79845,29.559858,-104.343639,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,1734, ,1734, ,-11615482,3447099
175,403,TXG921328,CN604492603,RN107021420,7/9/2014, ,HOLGATE LAND & CATTLE COMPANY,"Co Rd 120, Plains, TX 79355, USA",TX,79355,33.330106,-102.75557,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,1734, ,1734, ,-11438699,3939203
176,404,TXG921329,CN604499350,RN107046443,7/3/2014, ,THE DAVID H HICKS IRREVOCABLE TRUST,850 COUNTY ROAD 319 SEMINOLE,TX,79360,32.6185,-102.8147,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,5028, ,5028, ,-11445281,3844776
177,405,TXG921329,CN604499459,RN107046443,7/3/2014, ,"DAVIS, CHARLES DAVID",850 COUNTY ROAD 319 SEMINOLE,TX,79360,32.6185,-102.8147,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,5028, ,5028, ,-11445281,3844776
178,406,TXG921329,CN604499509,RN107046443,7/3/2014, ,"HICKS, CELESTA WICKSON",850 COUNTY ROAD 319 SEMINOLE,TX,79360,32.6185,-102.8147,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,5028, ,5028, ,-11445281,3844776
179,407,TXG921333,CN604511972,RN101701837,1/8/2014, ,CARSON COUNTY FEEDERS LLC,1925 FM 2385 PANHANDLE,TX,79068,35.450555,-101.30055,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,32850, ,32850, ,-11276727,4225280
180,408,TXG921334,CN604518597,RN107110702,6/30/2014, ,"WILLIAMS, JASON NOBLE",630 COUNTY ROAD 1234 SUDAN,TX,79355,33.973434,-102.932045,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,1445, ,1445, ,-11458344,4025236
181,409,TXG921334,CN604518621,RN107110702,6/30/2014, ,"WILLIAMS, SHANDI RAE",630 COUNTY ROAD 1234 SUDAN,TX,79355,33.973434,-102.932045,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,1445, ,1445, ,-11458344,4025236
182,410,TXG921335,CN604524785,RN101702991,1/19/2014, ,GRAND ORGANIXX LTD,3595 TIERRA BLANCA RD HEREFORD,TX,79045,34.806944,-102.46138,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,75920, ,75920, ,-11405950,4137677
183,411,TXG921336,CN600797195,RN101700490,3/9/2014, ,HANSFORD COUNTY FEEDERS LP,13965 HIGHWAY 207 SPEARMAN,TX,79081,36.319722,-101.354166,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,48618, ,48618, ,-11282695,4344705
184,412,TXG921336,CN601104771,RN101700490,3/9/2014, ,HOLT BROTHERS,13965 HIGHWAY 207 SPEARMAN,TX,79081,36.319722,-101.354166,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,48618, ,48618, ,-11282695,4344705
185,418,TXG921346,CN604608505,RN101525285,6/19/2014, ,TIERRA DE ESPERANZA LTD,4677 COUNTY ROAD 15 HEREFORD,TX,79025,34.966666,-102.21944,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,31025, ,31025, ,-11379017,4159353
186,419,TXG921346,CN604608513,RN101525285,6/19/2014, ,GO FOODS LP,4677 COUNTY ROAD 15 HEREFORD,TX,79025,34.966666,-102.21944,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,31025, ,31025, ,-11379017,4159353
187,423,TXG921351,CN604662619,RN101526291,8/20/2014, ,"STANFORD, CHARLES",297 COUNTY ROAD 112 VERHALEN,TX,79772,31.1765,-103.53383,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,19317, ,19317, ,-11525334,3655693
188,426,TXG921353,CN604669499,RN102817293,8/29/2014, ,GRIMES TRADING LLC,174 PRIVATE ROAD 1407 DUBLIN,TX,76446,31.983611,-98.269722,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,2305, ,2305, ,-10939336,3761160
189,427,TXG921353,CN604669507,RN102817293,8/29/2014, ,GRIMES OPERATIONS LLC,174 PRIVATE ROAD 1407 DUBLIN,TX,76446,31.983611,-98.269722,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,2305, ,2305, ,-10939336,3761160
190,428,TXG921354,CN604677427,RN101720563,9/18/2014, ,MCLEAN FARM LLC,13948 COUNTY ROAD A MCLEAN,TX,79057,35.176666,-100.60194,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,40515, ,40515, ,-11198958,4187916
191,440,TXG921365,CN604552679,RN102755071,5/19/2015, ,BROKEN O CATTLE LP,12070 N US HIGHWAY 281 HICO,TX,76457,31.884166,-98.098611,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,2190, ,2190, ,-10920288,3748116
192,450,TXG921373,CN604719088,RN101609485,12/14/2014, ,ODYSSEY CATTLE FEEDERS LP,3245 FM 1524 DIMMITT,TX,79027,34.427222,-102.31777,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,24309, ,24309, ,-11389963,4086314
193,456,TXG921379,CN604731414,RN101512549,1/11/2015, ,CANADIAN FEEDYARDS LLLP,11699 COUNTY ROAD 12 CANADIAN,TX,79014,36.005,-100.31583,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,81030, ,81030, ,-11167108,4301310
194,458,TXG921381,CN602620429,RN101528180,1/15/2015, ,HEMINK FARMS LTD,2635 COUNTY ROAD 521 HART,TX,79043,34.372222,-102.17861,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,73000, ,73000, ,-11374472,4078893
