FID,NAME,ADDRESS,STATE,ZIP,LAT,LONG,CAFO_TYPE,CAFO_SUBTY,SIS_CODE,E_AU,MANURE_AMT,E_MANURE_A,T_MANURE_A,NOTE,Geo_note,x,y
0,"VANDERLEI, KORNELIS WILT",1090 COUNTY ROAD 222 AMHERST,TX,79312,34.022222,-102.43972,Dairy cattle,CATTLE (Dairy);,SIS0241, ,11815, ,11815, ,Relocated,-11403538,4031787
1,"VANDERLEI, PIERTSJE DEBOER",1090 COUNTY ROAD 222 AMHERST,TX,79312,34.022222,-102.43972,Dairy cattle,CATTLE (Dairy);,SIS0241, ,11815, ,11815, ,Relocated,-11403538,4031787
2,"TAPIA, ADOLFO",13153 KLATTENHOFF RD MILES,TX,76861,31.380166,-100.155845,Dairy cattle,CATTLE (Dairy);,SIS0241, ,19343, ,19343, , ,-11149299,3682221
3,"VAN KOOTEN, GERARD",3200 FM RD 1689 COMANCHE,TX,76442,31.916666,-98.7,Dairy cattle,CATTLE (Dairy);,SIS0241, ,3376, ,3376, , ,-10989082,3754166
4,"DEBOER, JOHAN ALEXANDER",1685 COUNTY ROAD 418 DUBLIN,TX,76446,32.16,-98.375,Dairy cattle,CATTLE (Dairy);,SIS0241, ,7109, ,7109, , ,-10951421,3784248
5,"SIMPSON, RICHARD TED",3495 COUNTY ROAD 381 BROWNWOOD,TX,76802,31.766666,-98.966666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,4413, ,4413, , ,-11016503,3732081
6,"PLANTINGA, DOUWE",5522 FARM ROAD 900 S SALTILLO,TX,75478,33.100966,-95.319316,Dairy cattle,CATTLE (Dairy);,SIS0241, ,441, ,441, , ,-10610228,3908810
7,"MOERMAN, WAYNE",15281 HIGHWAY 16 COMANCHE,TX,76442,31.854444,-98.578611,Dairy cattle,CATTLE (Dairy);,SIS0241, ,24634, ,24634, , ,-10973722,3744220
8,"VANDERLEI, KORNELIS WILT",1054 US HIGHWAY 84 AMHERST,TX,79312,34.016666,-102.45833,Dairy cattle,CATTLE (Dairy);,SIS0241, ,11038, ,11038, , ,-11405196,4030609
9,"VANDERLEI, PIERTSJE DEBOER",1054 US HIGHWAY 84 AMHERST,TX,79312,34.016666,-102.45833,Dairy cattle,CATTLE (Dairy);,SIS0241, ,11038, ,11038, , ,-11405196,4030609
