FID,NAME,ADDRESS,STATE,ZIP,LAT,LONG,CAFO_TYPE,CAFO_SUBTY,SIS_CODE,E_AU,MANURE_AMT,E_MANURE_A,T_MANURE_A,NOTE,Geo_note,x,y
0,"MADDOX, THOMAS HAROLD",160 COUNTY ROAD 425 LOMETA,TX,76853,31.25,-98.533333,Swine,SWINE;,SIS0213, ,3718, ,3718, ,Relocated,-10970840,3665839
1,PERRYTON PAUL FARMS LLC,14215 COUNTY ROAD 4 PERRYTON,TX,79070,36.360277,-101.02083,Swine,SWINE;,SIS0213, ,22421, ,22421, , ,-11245588,4350310
2,PERRYTON PAUL FARMS LLC,13310 COUNTY ROAD 3 PERRYTON,TX,79070,36.229444,-101.03805,Swine,SWINE;,SIS0213, ,1666, ,1666, , ,-11247505,4332239
3,TEXAS DEPARTMENT OF CRIMINAL JUSTICE,1 JESTER RD RICHMOND,TX,77406,29.522406,-95.759254,Swine,SWINE;,SIS0213, ,402, ,402, ,Relocated,-10653886,3455377
4,TEXAS DEPARTMENT OF CRIMINAL JUSTICE,1100 FM 655 RD ROSHARON,TX,77583,29.299722,-95.545222,Swine,SWINE;,SIS0213, ,220.64, ,220.64, , ,-10636046,3413850
5,TEXAS DEPARTMENT OF CRIMINAL JUSTICE,12120 SAVAGE DR MIDWAY,TX,75852,30.957102,-95.925415,Swine,SWINE;,SIS0213, ,401.87, ,401.87, ,Relocated,-10653647,3627883
6,TEXAS DEPARTMENT OF CRIMINAL JUSTICE,11034 S HIGHWAY 36 BRAZORIA,TX,77422,29.185783,-95.46595,Swine,SWINE;,SIS0213, ,139.43, ,139.43, ,Relocated,-10632675,3374266
7,SEABOARD FOODS LLC,"Co Rd 17, Stratford, TX 79084, USA",TX,79084,36.126111,-101.88777,Swine,SWINE;,SIS0213, ,19488, ,19488, ,Relocated,-11341651,4315770
8,SEABOARD FOODS LLC,"Unnamed Road, Sunray, TX 79086, USA",TX,79040,36.110555,-101.66777,Swine,SWINE;,SIS0213, ,38977, ,38977, , ,-11317605,4315845
9,SEABOARD FOODS LLC,"FM520, Gruver, TX 79040, USA",TX,79040,36.124722,-101.63166,Swine,SWINE;,SIS0213, ,38977, ,38977, , ,-11313586,4317797
10,SEABOARD FOODS LLC,"TX-207, Gruver, TX 79040, USA",TX,79040,36.356111,-101.3525,Swine,SWINE;,SIS0213, ,4969, ,4969, , ,-11282510,4349734
11,HITCH PORK PRODUCERS INC,9501 COUNTY ROAD D GRUVER,TX,79040,36.450833,-101.35222,Swine,SWINE;,SIS0213, ,9603.32, ,9603.32, ,Relocated,-11284672,4364210
12,PRESTAGE FARMS OF OKLAHOMA LLC,"Dale Rd, Gruver, TX 79040, USA",TX,79084,36.479166,-101.669444,Swine,SWINE;,SIS0213, ,41103, ,41103, , ,-11318630,4367503
13,PRESTAGE FARMS OF OKLAHOMA LLC,6990 STATE HIGHWAY 15 STRATFORD,TX,79084,36.328333,-101.84166,Swine,SWINE;,SIS0213, ,42382, ,42382, , ,-11336963,4345895
14,PRESTAGE FARMS OF OKLAHOMA LLC,13850 COUNTY ROAD 9 STRATFORD,TX,79084,36.299822,-101.02605,Swine,SWINE;,SIS0213, ,25579, ,25579, , ,-11245883,4341887
15,PRESTAGE FARMS OF OKLAHOMA LLC,"Beaver Rd, Stratford, TX 79084, USA",TX,79084,36.429805,-102.0624,Swine,SWINE;,SIS0213, ,36119, ,36119, , ,-11361535,4359925
16,PRESTAGE FARMS OF OKLAHOMA LLC,"TX-15, Sunray, TX 79086, USA",TX,79084,36.328452,-101.91235,Swine,SWINE;,SIS0213, ,78919, ,78919, , ,-11344832,4345911
17,PRESTAGE FARMS OF OKLAHOMA LLC,"Unnamed Road, Sunray, TX 79086, USA",TX,73949,36.2597,-101.8058,Swine,SWINE;,SIS0213, ,53892, ,53892, ,Unidentifiable,-11332971,4336416
18,PRESTAGE FARMS OF OKLAHOMA LLC,"Co Rd Q, Stratford, TX 79084, USA",TX,75090,36.270657,-102.035588,Swine,SWINE;,SIS0213, ,54805, ,54805, , ,-11355637,4339006
19,PRESTAGE FARMS OF OKLAHOMA LLC,"Co Rd Q, Stratford, TX 79084, USA",TX,73105,36.2706,-102.009028,Swine,SWINE;,SIS0213, ,32883, ,32883, , ,-11355435,4337993
20,MURPHY BROWN LLC,13051 US HIGHWAY 60 MIAMI,TX,79059,35.60167,-100.76667,Swine,SWINE;,SIS0213, ,6317.9, ,6317.9, , ,-11217295,4245950
21,PRESTAGE FARMS OF OKLAHOMA LLC,"Co Rd 3, Stratford, TX 79084, USA",TX,75090,36.350324,-102.143445,Swine,SWINE;,SIS0213, ,21950, ,21950, , ,-11371213,4349534
22,JBS LIVE PORK LLC,12295 COUNTY ROAD 11 DALHART,TX,79022,36.080555,-102.89,Swine,SWINE;,SIS0213, ,147703, ,147703, , ,-11452538,4311767
23,SEABOARD FOODS LLC,"Unnamed Road, Perryton, TX 79070, USA",TX,79070,36.110833,-100.64833,Swine,SWINE;,SIS0213, ,2057, ,2057, , ,-11204122,4315883
24,SEABOARD FOODS LLC,"Co Rd 24, Perryton, TX 79070, USA",TX,79070,36.320277,-100.65583,Swine,SWINE;,SIS0213, ,55117, ,55117, , ,-11204957,4344782
25,SEABOARD FOODS LLC,"13101 FM281, Perryton, TX 79070, USA",TX,79070,36.106944,-100.71972,Swine,SWINE;,SIS0213, ,899, ,899, , ,-11212069,4315348
26,SEABOARD FOODS LLC,"Co Rd 23, Perryton, TX 79070, USA",TX,79070,36.427222,-100.6803,Swine,SWINE;,SIS0213, ,6569, ,6569, , ,-11207681,4359568
27,SEABOARD FOODS LLC,"Co Rd F, Perryton, TX 79070, USA",TX,79070,36.4326,-100.6902,Swine,SWINE;,SIS0213, ,584, ,584, , ,-11208783,4360312
28,SEABOARD FOODS LLC,"Co Rd AA, Spearman, TX 79081, USA",TX,79081,36.13,-101.145,Swine,SWINE;,SIS0213, ,2389, ,2389, , ,-11259411,4318525
29,SEABOARD FOODS LLC,13125 COUNTY ROAD 9 PERRYTON,TX,79033,36.2114,-100.9461,Swine,SWINE;,SIS0213, ,5168, ,5168, , ,-11238369,4329947
30,"SCHILLING, SCOTTY MARK","Co Rd 19, Follett, TX 79034, USA",TX,79034,36.442222,-100.222222,Swine,SWINE;,SIS0213, ,558.5, ,558.5, , ,-11156688,4361643
31,"HANDLOS, LAWRENCE",1038 HOG FARM 2 TRAIL ARCHER CITY,TX,76351,33.562694,-98.538194,Swine,SWINE;,SIS0213, ,0.01, ,0.01, , ,-10969583,3970818
32,"HANDLOS, DORIS",1038 HOG FARM 2 TRAIL ARCHER CITY,TX,76351,33.562694,-98.538194,Swine,SWINE;,SIS0213, ,0.01, ,0.01, , ,-10969837,3969540
33,PRESTAGE FARMS OF OKLAHOMA LLC,6100 FM 722 DUMAS,TX,79029,35.787777,-102.03222,Swine,SWINE;,SIS0213, ,2191, ,2191, , ,-11358176,4271460
34,Ohatchee Farm LLC,"975 BAILEY SPRINGS ROAD,OHATCHEE",AL,0,33.7137481,-86.0699891,Swine,SWINE (Gilts/Boar);,SIS0213, ,0,27360,27360,19 lb per 1000 lb animal unit, ,-9581268,3990431
35,Miller Farms,"2835 COUNTY ROAD, COLLINSVILLE",AL,35961,34.2112318,-85.8305421,Swine,SWINE (Immature);,SIS0213, ,0,66625,66625,65 lb per 1000 lb animal unit, ,-9554613,4057202
